# COLHEITA — McDonald's Brasil, cardápio publicado em mcdonalds.com.br
#
# Colhido em 21 de setembro de 2026, das páginas de produto do próprio
# site. Cada linha é o que a rede publica na aba "Informação nutricional"
# daquele produto.
#
# ⚠️ OS VALORES SÃO POR PORÇÃO, E NÃO POR 100 g. O McDonald's Brasil
# publica "Por Porção" e NÃO publica o peso da porção — restaurante é
# isento da RDC 429, que obriga isso em alimento embalado. É por causa
# disto que o Alimento ganhou `porUnidade`: sem o peso, não há como
# converter para a base de 100 g que a TACO usa.
#
# ⚠️ E É COLHEITA MANUAL DE PROPÓSITO. O site responde 403 a qualquer
# cliente que não seja um navegador de verdade, então o gerador não busca
# sozinho como o da TACO e o da FNDDS fazem. Para atualizar, abra o site
# num navegador e rode o colhedor descrito em scripts/gerar-fastfood-br.mjs.
#
# colunas: slug, nome, categoria, proteína g, kcal, carboidrato g,
#          gordura g, fibra g, sódio mg, alérgenos declarados
#
sundae-morango	Sundae morango	sobremesas	6	298	50	9	0.8	98.2	Leite+Amendoim
sundae-caramelo	Sundae caramelo	sobremesas	5.4	307	51	9.2	0.97	153.58	Leite+Soja+Glúten+Amendoim
top-sundae-chocolate	Top Sundae chocolate	sobremesas	10	466	76	14	0.9	197.49
top-sundae-morango	Top Sundae morango	sobremesas	10	485	80	14	0.9	199.69	Soja+Glúten+Amendoim
top-sundae-caramelo	Top Sundae caramelo	sobremesas	7.1	401	67	12	1.3	190.81	Leite+Soja+Glúten
mcflurry-mms-chocolate	McFlurry M&M's chocolate	sobremesas	6.2	502	81	17	3.6	195.81	Leite+Soja+Glúten+Amendoim
mcflurry-mms-morango	McFlurry M&M's morango	sobremesas	5.9	467	80	14	2.2	128.19	Leite+Soja+Glúten+Amendoim
mcflurry-ovomaltine-rocks-chocolate	McFlurry Ovomaltine Rocks chocolate	sobremesas	5.2	431	74	13	3.4	205.56	Leite+Soja+Glúten
mcflurry-ovomaltine-rocks-morango	McFlurry Ovomaltine Rocks morango	sobremesas	5.6	453	86	9.8	2.3	187.14	Leite+Soja+Glúten
mcshake-ovomaltine	McShake Ovomaltine	sobremesas	10	635	120	13	2.5	321.68	Leite+Soja+Glúten
